noise_lvl;ssim_corrupted;ssim_denoised;psnr_corrupted;psnr_denoised;nrmse_corrupted;nrmse_denoised;alpha_corrupted;alpha_denoised;sigma_corrupted;sigma_denoised;ac_var;cc_var
10.0;0.16879672979617208;0.7580455786875594;19.72992126571913;29.10681657374099;0.13192297996927926;0.04482039581155379;1.8906381688466265;2.5542822527483415;23.630938384887827;0.39547943382296136;3.138364297561321e-05;0.006829728171958027
9.0;0.15792364517323404;0.7749570678215795;19.23330951698025;28.623855555974338;0.13968540790008183;0.04738312920836679;1.8521837910326777;2.547182013517738;25.418777527970395;0.3954794338229654;3.114519608527427e-05;0.007775402674411297
8.0;0.14264703782978785;0.7796388683866183;18.766970136294674;28.388786656420155;0.147389996780641;0.048682983228514234;1.7785528551826149;2.5483210027797956;26.446332804656286;0.37065055462638713;3.581234900064638e-05;0.012155285208648163
7.0;0.13132691051783413;0.7168708814047469;18.30578116498113;27.558241810399547;0.15542735554135675;0.05356787587647054;1.7591256447274588;2.4509354893686415;28.11765186200329;0.41365543488987044;3.129234448075247e-05;0.004777752833641544
6.0;0.11595390557894555;0.6867704142012953;17.707603220772487;26.947127658555527;0.1665084795564787;0.05747250586338122;1.718800666258827;2.4010482239945343;30.108594156885403;0.43450538594003935;3.174865448593062e-05;0.012914597146460255
5.0;0.10213551035670732;0.7184241830321093;17.014008080937092;26.281945585437253;0.1803499856656374;0.06204677839706418;1.6355866032750643;2.449460693216807;32.68792834563157;0.43848431408641514;3.131475747913463e-05;0.00704164750079309
4.0;0.08510611929220026;0.6350892711755269;16.064050395950147;25.23168835414385;0.2011935234489709;0.07002161100636907;1.5687666185776057;2.394173661145559;35.895697818395625;0.48814207247956165;3.30729611587798e-05;0.010188742118455569
3.0;0.06802619996364648;0.5038685652518304;15.068378598440566;22.736553867714804;0.2256303859419415;0.09332302824440471;1.4596485374139527;2.121807110148462;39.74310720552047;0.5989807122030647;3.1682605208871604e-05;0.0028651312398008185
2.0;0.0474944678618881;0.42036622162557546;13.475398879531033;21.0395804169795;0.2710482278854611;0.11345861958406654;1.3446256442025786;2.002133364774125;47.678211635916426;0.7231251081859403;3.195395806652981e-05;0.014821544667652252
1.0;0.02826505427897015;0.2961148818415343;11.12367418878592;17.9606407138292;0.35533076160069293;0.1617277261382945;1.1684020115682956;1.7994133397678849;62.37270124161251;0.9696312668294389;3.1455379708478116e-05;0.007024158534718926
0.7;0.020341617396015203;0.2496839811464378;9.851535383583794;16.364155423863757;0.41137675398347756;0.19436082999127843;1.1252505975816611;1.7394702936383184;71.7034455015033;1.1815680566614242;3.1965299679688064e-05;0.01182695872613481
0.6;0.019057153750099403;0.2147407390120616;9.478178272090016;16.03342839987576;0.4294450513542335;0.201904080511946;1.1048150150462486;1.788455715475856;76.26032478097656;1.3699809454599163;3.226253638987808e-05;0.04278205029642573
0.5;0.016816231073641698;0.18800278705296222;9.088842725315846;15.495275633210358;0.44913239391742876;0.21480912918392583;1.060376394838463;1.6503353910215706;79.97665483612658;1.573482223840006;3.2808472694999674e-05;0.03216947621017715
0.4;0.014272494133444825;0.14620499610409124;8.548268287317885;14.58433168250627;0.47797271074325365;0.2385612666719467;1.0671102412500897;1.6235939137077644;84.84646480119146;1.5601764675806382;3.284506875093161e-05;0.03478444697837917
0.3;0.01246323305099384;0.11711697281009496;7.842736806096202;13.247346696261243;0.5184175268265842;0.2782589752233317;1.034787295698837;1.5945106453807076;91.31772011419578;2.7102627669157857;3.257180880575414e-05;0.010116571354915449
0.2;0.009661392949132867;0.10241970479311198;7.140648932832683;12.406971309543772;0.562061799560447;0.3065264466127706;1.013747713192389;1.5670240784104792;100.8863036702842;2.610947250129485;3.222458876823647e-05;0.005623056267199989
0.1;0.007701420764910965;0.12781610218953163;6.135137014425943;10.842671707085605;0.6310440343855023;0.3670142533560578;1.0070198099963785;1.671855601990329;112.77528218915134;1.9640914128554783;3.2204335117634006e-05;0.013643263829018483
