noise_lvl;ssim_corrupted;ssim_denoised;psnr_corrupted;psnr_denoised;nrmse_corrupted;nrmse_denoised;alpha_corrupted;alpha_denoised;sigma_corrupted;sigma_denoised;ac_var;cc_var
10.0;0.584255869230251;0.8272187835486753;23.47565155052085;23.158050971328574;0.12538708524162814;0.13005673162144407;1.7846860812316678;1.8999749245399493;15.877283806066927;0.6419855924665091;6.32078897903932e-05;0.01628340905725945
9.0;0.568176112738547;0.8168569761716286;23.004062733895402;22.965577837901016;0.132383008854181;0.1329708645568755;1.7920229948972284;1.9285636190752995;16.37748879577091;0.6668144716630916;5.324683873383988e-05;0.014211880905021833
8.0;0.5525042082481468;0.8283818165693111;22.532219716827832;23.341978826811637;0.13977335783573983;0.12733167234457002;1.7794890255864502;1.9255368012381455;17.19015305411518;0.6486384705962008;3.467189729728511e-05;0.0036955874377280103
7.0;0.5332319115549037;0.8072884305316521;21.955181386608462;23.45758933936969;0.14937444856736357;0.12564809758656964;1.7770548875829044;1.8973865965411763;17.975744560456764;0.7180160357988946;3.5777887409366605e-05;0.008957021197251317
6.0;0.5109764738977618;0.7873472000102492;21.258030626055366;22.91318526260423;0.16185788198723916;0.13377535780679004;1.763404343142989;1.9033648940888481;19.88135152544753;0.7164722300562387;4.752210033587696e-05;0.013449227292846679
5.0;0.4865185795767403;0.7905449295444632;20.516277997922522;23.032349352942557;0.17628748602281802;0.1319525892847158;1.7599680295431201;1.9087482017293078;21.39711176873317;0.6716847164705797;3.369798634457389e-05;0.00514605830693316
4.0;0.4577409630293688;0.7612149923986735;19.60652720091961;22.28541288982768;0.19575326945105964;0.14380193828827265;1.7493174727751477;1.9190196096894259;23.363085508361394;0.7098193519265342;5.306437430811942e-05;0.04283366207430458
3.0;0.4203990413910955;0.7215499527851742;18.409324748758934;22.570497918661736;0.2246824479526694;0.1391587402023359;1.7223451905612832;1.9029144365820707;26.506173304484584;0.9696312668294473;3.145315238898104e-05;0.008608404846199447
2.0;0.37039942123309105;0.6924635822771995;16.805655643551283;21.821354297041164;0.2702418480744094;0.15169374368712985;1.6826401204348571;1.9016527037187771;31.187276319323054;0.8157877468425208;3.3881880940254815e-05;0.010516183693587151
1.0;0.2893818626320639;0.5870337892510599;14.13628198808571;20.770742737097724;0.3674694886088738;0.1711978268469687;1.593402253562712;1.8941778725657037;42.20743817211706;1.0853401513604348;3.155369768863427e-05;0.008406151489686053
0.7;0.25036371507216787;0.5599315617184007;12.898497373360524;19.76679890298062;0.42375078496716456;0.19217435815061282;1.5248181686970301;1.8948238607751227;48.958098771297976;0.9017975073694258;3.175624764883453e-05;0.014819594081634753
0.6;0.23339494530014246;0.5161071024551472;12.34171796734454;19.52429763798493;0.451803390820452;0.19761527109535365;1.4748179642416444;1.8537797759053274;52.12093420589223;1.340281821455855;3.1867618305139556e-05;0.007175132187999927
0.5;0.2170212317236948;0.4654816273880766;11.840794596445338;18.835082791795887;0.4786253032916146;0.21393470608941187;1.4442973124009608;1.865760076277233;54.38286729916226;1.8151181376760464;3.185199358148149e-05;0.015173501121383031
0.4;0.19410007457789913;0.4269389626271355;11.100707238692213;18.03115711478682;0.5211947380398815;0.2346807830496677;1.391291059757573;1.8517500362664394;59.53054942629849;1.6612746176891064;3.170161062556429e-05;0.011548638551552182
0.3;0.17135835942625408;0.40777144729878634;10.376197546135959;17.714477166382075;0.5665333846962228;0.2433949292010233;1.341063017952475;1.804538992616548;65.17885066482394;1.747284378216018;3.210329922380731e-05;0.018614710818744756
0.2;0.13819054429137598;0.3444633722096488;9.312830838891276;16.440148317453446;0.6403152458102379;0.2818564440588106;1.2567515033040841;1.7449037128842602;74.43536645018771;1.729108377149147;3.209543474419543e-05;0.015291009088625542
0.1;0.09482947447084941;0.24771158076151484;8.022532647216156;14.933500617972289;0.742863041335547;0.33524349024547284;1.1367120072519286;1.69799124830787;85.33420796130525;2.374659236260036;3.195970977320356e-05;0.007193295379961918
