noise_lvl;ssim_corrupted;ssim_denoised;psnr_corrupted;psnr_denoised;nrmse_corrupted;nrmse_denoised;alpha_corrupted;alpha_denoised;sigma_corrupted;sigma_denoised;ac_var;cc_var
10.0;0.7277816218802831;0.9070117223073201;25.068222042472566;31.19465783845183;0.07999255711978216;0.03951188874441528;2.590771240321087;2.6328801278178116;13.329361118883504;0.4633131932830009;4.535545460790803e-05;0.0053912950944705745
9.0;0.7096025391200552;0.919243258672948;24.57943060362904;31.817349126897277;0.08462314310616802;0.03677843336723229;2.5889763453851544;2.629634365178488;13.999245857653628;0.48814207247956815;3.842491786544324e-05;0.0036296889708027926
8.0;0.6914751114901272;0.9179583650770887;24.07973986969573;31.217265497160632;0.0896341880380883;0.039409180808184945;2.5876723224027245;2.6302474479853855;14.655785232575578;0.5129709516761496;4.1135310026798055e-05;0.005578363654864616
7.0;0.6726299785781479;0.908876247131164;23.49862050808187;30.29751177854009;0.09583621580617797;0.04381119440202204;2.5780576938779682;2.625491222245555;15.938343514797753;0.5129709516761596;4.597089500224271e-05;0.006151993438208743
6.0;0.6509222180566537;0.9046392999164938;22.910219488475654;30.37387974425475;0.10255331604872567;0.043427686596055136;2.5721662359179804;2.6235374809786456;16.8491450026324;0.512970951676148;4.858264283436474e-05;0.004916218327050677
5.0;0.622415824621599;0.8957188811836712;22.14243730118107;29.95107782915328;0.11203115596542323;0.045593905079992905;2.5646654733413103;2.623666436081566;18.39487790144693;0.5063180735464786;3.628932687691002e-05;0.007413295218362601
4.0;0.590517160578547;0.882105241961291;21.28473427770324;29.39921026415098;0.12365849834969234;0.04858477200051482;2.5502415906633673;2.633066040160461;20.566350049781132;0.48148919434989806;3.768945615278616e-05;0.007662839647655085
3.0;0.5461929672054776;0.8750794971002678;20.129007478571474;28.7069191761414;0.14125710725919116;0.05261562376793741;2.5249319129291274;2.6114169533979448;23.082166776652773;0.555975831939606;3.3747721008855736e-05;0.007029742628379485
2.0;0.4845124116929405;0.8301719680669587;18.545345760995687;26.087511035387926;0.16950924681302554;0.0711352939455734;2.488095269471737;2.611355756911264;28.171875166523915;0.734648231123099;5.6156640630569476e-05;0.01116576837117125
1.0;0.3828531769179663;0.7859859095671142;15.972099951501924;24.994260758791675;0.22795844438629484;0.08067661060113841;2.391777398693957;2.5824636616362597;37.375403676295356;0.8091348687128146;3.255476837572001e-05;0.015879785015251283
0.7;0.3327125914529345;0.7605156289520896;14.720075028498403;23.87654553180318;0.26330368110853997;0.09175577454735115;2.3229973101772377;2.5612294845352137;42.521225236204494;0.6486384705961842;3.1907569256408285e-05;0.00931721448161465
0.6;0.3143432827734392;0.720475031107886;14.190687117227029;22.790522090681968;0.2798506541152411;0.10397635235748827;2.2973196805471265;2.535243570848828;45.558471792075245;0.8388339927168912;3.184702840981494e-05;0.00839554784111251
0.5;0.2876256780711885;0.6847451505603204;13.458945511001712;21.58920811480388;0.3044481971678179;0.11939888645607305;2.2416450613386214;2.510614877552144;49.02429883629475;1.0441179044191775;3.1933782540717834e-05;0.012582132125983029
0.4;0.26089132338657406;0.6534086404870493;12.801223844568348;20.973477178745025;0.32839723359590417;0.12817012954699028;2.1839773108325575;2.489272748137415;52.20660718937146;1.1301276649460685;3.207848618840276e-05;0.00972936002638424
0.3;0.22381506852028385;0.5956102026221929;11.841037183199433;19.49367184909344;0.36678268301882555;0.15197672788644637;2.0817429927772046;2.415680907095775;58.44672795217266;1.2427489379917436;3.2387199784962e-05;0.012364706897248967
0.2;0.17605881415591407;0.5427914528259632;10.4739272357077;17.973309134762893;0.4293033924937129;0.1810486227579893;1.9287902537394996;2.3686240653603363;67.43224452658983;1.63644573849254;3.2216102923777734e-05;0.008136797056828939
0.1;0.11641917389935903;0.3734650266239886;8.621544028232893;14.600915487640444;0.5313534207187169;0.2669407693608419;1.6262623602576955;2.0790031252529304;84.06130397920181;2.6078596386441935;3.268817613363592e-05;0.013102912532882604
