noise_lvl;ssim_corrupted;ssim_denoised;psnr_corrupted;psnr_denoised;nrmse_corrupted;nrmse_denoised;alpha_corrupted;alpha_denoised;sigma_corrupted;sigma_denoised;ac_var;cc_var
10.0;0.4955658565253981;0.6762681113308583;21.07785740995494;21.571594219083913;0.278425472965218;0.2630401997259637;1.951194225448362;2.1405841258195055;23.133256549030804;0.5063180735464541;3.202411446202881e-05;0.13568973820744024
9.0;0.4824084726902646;0.6753883890993617;20.680489094433923;21.60827791595373;0.2914589405087686;0.26193162711345724;1.940814264735893;2.1289970166199774;24.00352736637903;0.5063180735464553;3.117631569400068e-05;0.06521155980756553
8.0;0.46500767393670295;0.6466369428218196;20.19062509123046;21.3646309878037;0.30836890740306205;0.26938306328632944;1.9404854483826566;2.1313408840668293;25.266982793838626;0.5311469527430278;3.225300970501412e-05;0.2508992467825044
7.0;0.4460216031449348;0.6288478005610615;19.64559229741696;21.17180648550125;0.3283388114098387;0.27543017135279657;1.9246366452388206;2.157998039291323;26.344847813374404;0.549322953809905;3.327814536255696e-05;0.05483173285078294
6.0;0.4245693980112355;0.6105396263232176;19.053573250525545;21.057658598933887;0.35149825558648423;0.279073697602256;1.9006204841593055;2.144681081005764;28.05290705803823;0.5741518330064802;3.2098974290592414e-05;0.043651517790742674
5.0;0.4000818908227091;0.5969595200302995;18.27214340575831;20.96123829177269;0.38458705877510463;0.28218889698323596;1.8771433899019272;2.082355748053934;30.002143699863897;0.6238095913996284;3.1442161979128205e-05;0.025061903177140583
4.0;0.36919464012774383;0.5761713745458318;17.398169392227704;20.509992501056743;0.4252980259998452;0.29723654977949654;1.8510535711691876;2.1391743809635346;32.957261919000665;0.5923278340733645;3.663297990172501e-05;0.1916042579276991
3.0;0.3332359899328396;0.5155375405666713;16.312973799660867;20.01892131875193;0.48189580599144405;0.3145254342521262;1.8057718477408302;2.1177990152250197;36.40692546360741;0.6056335903327469;3.2323715081806955e-05;0.052079236884627976
2.0;0.28269411886421797;0.46173757571370244;14.716630181986828;19.282650478341928;0.579122352056047;0.34234919630214067;1.7086279521968508;2.057405025800774;42.942843753752456;0.6982962289893504;3.165935659152048e-05;0.012978746641769484
1.0;0.20185437887108124;0.35102616652189733;12.171838646374697;17.3212683974969;0.7762648194479749;0.4290801430101663;1.5299935959038768;1.959436645794898;56.67713493903452;1.012636147092909;3.143325894930468e-05;0.0766081841988122
0.7;0.16537991632739094;0.30715319099456007;10.843883972834046;16.322993812720917;0.9044980563037012;0.4813402131377808;1.4379287293211969;1.995973684519186;65.55417543840962;0.9448023876328832;3.239255882322283e-05;0.10049121611879835
0.6;0.15153233491155213;0.2820123885969935;10.326094305319948;15.485940299434791;0.9600572272474727;0.5300353333338034;1.4122664157590032;1.977564367303412;68.98442929834125;1.012636147092904;3.2159927641642295e-05;0.23037644295704707
0.5;0.13373094187666096;0.2538549303614492;9.800146538700751;14.71752008011844;1.0199867018147768;0.5790630220943181;1.35982884271786;1.8744895428808985;73.65817579415966;1.6861034968856823;3.216966723828546e-05;0.050672941360499546
0.4;0.11884975938261262;0.2066265116884052;9.139762800206002;13.762734157174858;1.1005599297840316;0.6463460941367302;1.294205388211447;1.7797928022130527;79.33612700279528;1.9277394107217192;3.254519026120088e-05;0.054804571368084434
0.3;0.09773083112840131;0.190930970121096;8.398708944454292;13.276472702365567;1.1985782412882457;0.6835624559234824;1.214026947453352;1.7414370442543115;85.92929316569587;2.291737087218444;3.209932952147074e-05;0.12165460378543429
0.2;0.07635485617718471;0.15073716640840182;7.517765031221751;12.304861127898281;1.32651933648018;0.7644670657613292;1.1518349936410106;1.7085760889425297;96.42141376641983;2.4358401175903666;3.250884797773596e-05;0.04464372352397007
0.1;0.052041667016955444;0.10416320594654431;6.3720105580165995;10.828131801972198;1.5135658093022373;0.9061398841174241;1.0528190798804462;1.6384612928329791;110.50404807467311;2.543113490669459;3.2102286598990605e-05;0.009165654974939525
