noise_lvl;ssim_corrupted;ssim_denoised;psnr_corrupted;psnr_denoised;nrmse_corrupted;nrmse_denoised;alpha_corrupted;alpha_denoised;sigma_corrupted;sigma_denoised;ac_var;cc_var
10.0;0.2804187707832859;0.7120756857308025;19.283346351273458;26.430674516450612;0.18514309143442628;0.08130946487677927;1.9053675866184154;2.189219250568246;27.667217981961524;0.4384843140864041;3.2178723799014724e-05;0.04273725662560665
9.0;0.26682723480672477;0.6932414387414813;18.882066684019357;26.210095377952904;0.1938971807277331;0.08340076989964244;1.8887953882006725;2.154812016408188;28.745104224462718;0.43848431408642513;3.260231527913845e-05;0.06572478578362796
8.0;0.2549857585158679;0.667206002599306;18.422824015819682;26.18353205260327;0.20442482181547977;0.08365621786434181;1.8647113288252166;2.14391734065302;29.86726412053683;0.481489194349882;3.10302337059184e-05;0.035014649840895404
7.0;0.2402717984929022;0.6902628535759754;17.93150148587179;25.756889109600568;0.21632153419467626;0.08786792551069998;1.851320412995102;2.1647239015608597;31.90337974209073;0.4633131932829802;3.171311605897777e-05;0.04295913837842314
6.0;0.22160128910953755;0.6485184020356678;17.270473822201257;25.509556887942026;0.2334270263541294;0.09040594377327227;1.8159659476927936;2.163926767265758;34.092623203688795;0.4633131932829997;3.1516921319533815e-05;0.0318038056548858
5.0;0.2057173820382978;0.6261467859749709;16.57046411454142;24.737327445786327;0.25301811910708755;0.09881171939078617;1.7705090177273646;2.149371536572112;36.90722145371383;0.44513719221612685;3.2807690823953204e-05;0.06059143256031406
4.0;0.18369587140940363;0.5710387398300358;15.722457000719764;23.770623721902837;0.2789664517978126;0.11044438534701169;1.7166923255185573;2.118026490933943;39.87722317807801;0.5808047111361542;3.1005437588830573e-05;0.07169277956518376
3.0;0.16046245958766264;0.6005248808130936;14.67016803287464;23.23165192022628;0.3148954801393059;0.11751470985889377;1.6416295176921012;2.1172548457641733;45.61575697461424;0.5063180735464553;3.1051962048995445e-05;0.04090314784359747
2.0;0.12984088250790843;0.47709675129055024;13.171378225970646;21.55038843877957;0.3742018388939261;0.14261178203390168;1.532358124305172;2.0486252281241275;53.28173825465963;0.673467349792769;3.137881394301913e-05;0.07825409498631171
1.0;0.08485963714076693;0.2879520935395729;10.81753096233739;17.576572539066536;0.49067991407480804;0.22534410515505673;1.3252589078931734;1.8391547600221767;69.0397823099892;1.3717635787820974;3.6706167470657436e-05;0.09498176718662743
0.7;0.07065322583989529;0.25024531992879645;9.887052538903237;16.682896733352944;0.5461629073799535;0.24976408681085893;1.2629488508407247;1.814563417133833;76.0018166855166;1.6249226155553276;3.186602936760702e-05;0.025446007800298834
0.6;0.06504915370654889;0.22947275186585006;9.496581837818445;16.13340479383534;0.5712756811082225;0.2660753174517956;1.2243935664737235;1.7965381842232255;81.08848513129753;1.5109963643465605;3.1805913141605845e-05;0.04503231714507093
0.5;0.058976364778001736;0.22643869944838188;9.048880904248009;15.751294431645697;0.601493285227879;0.27804181004026857;1.1763919443626678;1.7820965323194822;86.25409254519734;1.5570888560953333;3.268032092215822e-05;0.08006653147943009
0.4;0.04932182884119776;0.19268396682548722;8.545768449656384;15.068964052183933;0.6373623511004575;0.30076453601023057;1.1728709664808492;1.7882755104627608;89.98744340715952;1.5437830998359365;3.2500199105082055e-05;0.055616993494115474
0.3;0.041717702513672614;0.18073681546730982;7.979914005662878;14.68580135270052;0.6802665687720952;0.31432922447615713;1.1071810399107707;1.7189064359417974;96.81907965389513;1.6976266198228724;3.1785568692427535e-05;0.02041538004739438
0.2;0.031927272892087646;0.16695201125331532;7.295324706743638;14.033105714087224;0.7360521630885338;0.33885940424421673;1.0592213934256642;1.6816945447164233;105.97542901838074;1.60496398116629;3.277602277181201e-05;0.04000716063010867
0.1;0.02284570459216353;0.0946039139185498;6.49337823760826;11.965231103875485;0.8072460280178216;0.4299453670284283;1.0255325005579996;1.5735032914384288;116.15945930707132;3.004644050630263;3.2330461267683436e-05;0.008796538603400171
