noise_lvl;ssim_corrupted;ssim_denoised;psnr_corrupted;psnr_denoised;nrmse_corrupted;nrmse_denoised;alpha_corrupted;alpha_denoised;sigma_corrupted;sigma_denoised;ac_var;cc_var
10.0;0.5948195009328979;0.7856565666039389;21.955999036604492;25.00628304856068;0.19476570948238756;0.1370876389395554;1.9382920796242427;2.024732389935163;19.524960924167925;0.666814471663076;3.238716315803542e-05;0.013329593423340433
9.0;0.5785265573289978;0.7723444577691325;21.536555475216403;24.926014349598415;0.20440178086788582;0.13836037537258605;1.9368784776668895;2.0355147346574256;20.90850923690337;0.6486384705961976;3.429745848160984e-05;0.0379017471462228
8.0;0.5595114026169984;0.7669392928147619;21.04839072288804;24.76142233518992;0.21621853125921664;0.1410072141169315;1.9241753000466886;2.028016938760369;21.708852306379075;0.716472230056227;3.35513755322905e-05;0.02867959539139905
7.0;0.5379269018999348;0.7587764848751892;20.483955676839525;24.587483391773066;0.23073563113749399;0.14385941154045456;1.9230043741025413;2.0371211034565526;23.04873492502544;0.6849904727299694;3.2402989471846233e-05;0.022889997586340756
6.0;0.5113802136429428;0.7252704518249068;19.806450730869617;23.94808435899626;0.24945367849864084;0.15484893797691293;1.9158268540600074;2.032789639983652;24.479319316435937;0.6668144716630824;3.402721366086655e-05;0.014548274218543402
5.0;0.48283720299230914;0.7120477667200408;19.05140406242056;23.536185502660874;0.2721085862537236;0.16236902167800887;1.9059002830904432;2.031205198088449;26.865478664458955;0.7231251081859171;4.691132203134678e-05;0.07872206183651688
4.0;0.44988565841492284;0.7064217246110172;18.140862131361526;23.38131318951399;0.3021825227112334;0.16529007989572633;1.8820533208281938;2.0211326461907912;29.184671961036926;0.7346482311231116;3.427642543550264e-05;0.031013425024380526
3.0;0.4045828114769844;0.6788714622125533;16.956582099267916;22.627203502981526;0.34632460224491696;0.18028196120616646;1.8487231356741873;2.0004596822143146;33.09391793971275;0.7594771103196875;3.140969877435816e-05;0.05546037894256847
2.0;0.346809597429995;0.6359874734260487;15.310920890389564;21.71047718614267;0.41856836776615924;0.2003496507750254;1.7837890251168511;2.004500046640991;39.97015599795815;0.7346482311231168;3.121828039046417e-05;0.08583164691168053
1.0;0.25692290518235206;0.5378733815783837;12.735793899193453;19.510046393841574;0.5630186150075971;0.2581131490606856;1.6512746565213712;1.9834566345503777;52.916575284194025;0.9944601460260247;3.237771263813481e-05;3.9018314926713344
0.7;0.21608479569129085;0.46417108791278455;11.53420207563128;17.960948646597213;0.6465503412800686;0.30850699584323144;1.5662866142494407;1.9077553735375008;60.23514005572769;1.4511204611793291;3.132066344110398e-05;0.01247504607658948
0.6;0.2010199771616908;0.4562195420755478;11.075233860128977;17.68324983708514;0.681633232649731;0.3185297180720228;1.5461650927643735;1.925693913187456;65.23121915588253;1.2839711849330158;3.284355119684039e-05;0.163132664971835
0.5;0.18480476791442121;0.4271836018556145;10.492116882590004;17.12556337601516;0.7289648791841287;0.33965208136864933;1.493348257839874;1.9055309044312814;69.60320520790835;1.3717635787821267;3.152513851559467e-05;0.04689586624146576
0.4;0.15875765574021283;0.3780266209443423;9.806339874508808;16.017441432697115;0.7888518626654236;0.38586943347381447;1.4216627185675772;1.8643166874933816;76.61721636700176;1.44625021637183;3.2875630201952356e-05;0.056149861662582526
0.3;0.13450460066548234;0.33463467022536647;9.023617940464373;14.938970052134529;0.8632399920007912;0.4368817935514984;1.3566507593972983;1.8307569027230206;83.92670306335434;2.008878926441136;3.217133950021996e-05;0.0264891447055757
0.2;0.10924956353438062;0.27929030782981035;8.186254063640249;13.788868157041152;0.9506042374384215;0.49873407464251096;1.262754469421794;1.7496032076273005;93.12088640387839;2.366223724808152;3.1855679189564744e-05;0.23315332012039916
0.1;0.06982364584818039;0.20285981911120143;6.952629501276423;12.7100889274738;1.095673036017405;0.5646872769473934;1.1289837800752955;1.731227674656662;107.63414111990541;2.5564192469288534;3.237090059717343e-05;0.03761944423284728
